Отметка времени,İşlədiyiniz müəssisənin növü,Elmi tədqiqatın ixtisas sahəsi  ,Vəzifəniz (ştat və ya yarımştat),Neçə ildir elmi rəhbər kimi çalışırsınız?,Hazırda rəhbərlik etdiyiniz doktorantların sayı  ,Çalışdığınız müəssisənin yerləşdiyi region,Elmi rəhbərlik forması, Tələbələrinizlə rəsmi elmi rəhbərlik görüşlərinin tezliyi ,Doktorantura proqramının başlanğıcında gözləntilər sizə aydın olurmu?,Akademik avtoritet kimi çıxış etmək,Tədqiqat metodlarını öyrətmək,Elmi etikaya yüksək səviyyədə riayət olunmasını təmin etmək ,İmtahanlara hazırlanma prosesində iştirak ,Nəşrlərlə bağlı məsləhət və dəstək vermək  ,Doktorantı şəxsi elmi tədqiqat layihələrinə cəlb etmək ,Elmi rəhbər kimi öhdəliklərimi səmərəli şəkildə yerinə yetirmək üçün kifayət qədər vaxtım var,Müəssisə doktorantlara elmi rəhbərlik üçün kifayət qədər inzibati dəstək göstərir ,Çalışdığım müəssisədə elmi rəhbərlər üçün təlim imkanları əlçatandır ,Dissertasiya şurasının prosedurları elmi keyfiyyəti və işin vaxtında tamamlanmasını təmin edir ,Mövcud maliyyələşdirmə mexanizmləri doktoranturanın uğurla tamamlanması üçün kifayətdir,Doktorantlar ümumilikdə dissertasiyanın təqdimatı və müdafiəsi üçün hazırlıqlı olurlar,Doktorantların təhsilini uğurla başa vurmaq üçün tələb olunan kurslarda iştirak etmək imkanları kifayət qədərdirmi?  ,Doktorantlarımın əksəriyyəti təhsillərini gözlənilən müddət ərzində uğurla tamamlaya bilirlər,Doktoranturanın tamamlanmasında yaranan gecikmələrin əksəriyyəti doktorantın özündən asılı olmayan amillərlə bağlıdır ,"Təcrübənizə əsasən, müəssisənizdə doktorantların doktorantura layihəsini tamamlaması üçün tələb olunan orta müddət nə qədərdir? ",Doktorantura proqramlarının icrası doktorantların akademik olmayan mühitdə karyerasının formalaşmasına da xidmət edir,Doktorantlarımla akademiyadan kənarda karyera imkanlarını müzakirə edirəm ,Rəhbərlik etdiyim doktorantlar ümumilikdə akademiyadan kənar məşğulluq üçün yaxşı hazırlaşmış olurlar ,Doktorantlar təhsilləri müddətində tez-tez yüksək stress yaşayırlar ,İnstitusional dəstək elmi rəhbərlərə doktorantların rifahı ilə bağlı məsələləri effektiv şəkildə həll etməyə imkan verir,Elmi rəhbərlər münaqişələrin həlli prosedurları barədə kifayət qədər məlumatlandırılmışdırlar  ,Tədqiqat etikası qaydalarını doktorantlara izah etmək və onları istiqamətləndirmək baxımından özünüzü nə dərəcədə hazır hesab edirsiniz?  ,Doktorantlara tədqiqat metodları üzrə təlim verməyə cavabdeh şəxs sizsinizmi?  ,"Doktorantlara elmi rəhbərlik üçün süni intellekt alətlərindən istifadə edirəm (məsələn, rəy vermə, ədəbiyyat axtarışı, üslubun yoxlanılması) ",Doktorantlarla süni intellekt alətlərindən düzgün istifadə məsələlərini müzakirə edirəm ,Müəssisədə doktorantura tədqiqatı və elmi rəhbərlikdə süni intellekt istifadəsi ilə bağlı aşkar qaydalar mövcuddur ,"Zəhmət olmasa, islahat üçün ən vacib hesab etdiyiniz üç istiqaməti seçin:  ",Doktoranturada elmi rəhbərliyin keyfiyyətini artırmaq üçün hansı dəyişiklik ən böyük təsir göstərə bilər?  ,Doktorantura təhsilinin təkmilləşdirilməsi ilə bağlı əlavə şərh və ya təkliflərinizi qeyd edin   
17.03.2026 12:01:45,,,,,,,,Həftədə bir dəfə,Çox aydındır,Vacibdir,Çox vacibdir,Vacibdir,Vacibdir,Çox vacibdir,Vacibdir,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən kifayətdir,Qismən razıyam,Qismən razıyam,5-6 il,Qismən razıyam,Qismən razıyam,Çox razıyam,Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Qismən razıyam,Qismən razıyam,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Elmi rəhbərlik üçün institusional dəstək",Müasir avadanlıqlar və reagentlərlə təhciz olmaqla,Doktoranturaya seçimdə səffafliq
17.03.2026 13:57:10,Elmi-tədqiqat İnstitutu,Preparation and Study of Nanoscale Semiconductor Structures,Ştat,2,1,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Qismən əhəmiyyətlidir,Çox vacibdir,Çox vacibdir,Vacib deyil,Çox vacibdir,Qismən əhəmiyyətlidir,Raziyam,Raziyam,Qismən razıyam,Raziyam,Heç razı deyiləm,Raziyam,Qismən kifayətdir,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,3-4 il,Qismən razıyam,Qismən razıyam,Qismən razıyam,Raziyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Çox hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Qismən razıyam,Raziyam,Qismən razıyam,"Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Elmi rəhbərlik üçün institusional dəstək, Doktorantlar üçün maliyyə dəstəyi","Elmi rəhbərliyin keyfiyyətinin artırılması üçün bir neçə dəyişiklik təklif etmək olar:
1. Elmi rəhbərin elmi fəaliyyəti seçilən mövzu ilə tam uyğun olmalıdır;
2. Elmi rəhbər süni intellekt amilini gələcək elmi işdə nəzərə almağı bacarmalıdır;
3. Elmi rəhbərin rəhbərliyə görə aldığı maaş çox kiçikdir, maaşın  artırılması rəhbər üçün bir motivasiya ola biləcəyini düşünürəm.

","Doktorantura təhsilinin təkmilləşdirilməsi üçün doktorantların müasir beynəlxalq elmi mərkəzlərlə əlaqəsi  müəssisə tərəfindən təmin olunmalıdır, xarici dillərin öyrənilməsinə xüsusi yer ayrılmalıdır, əyani təhsil alan doktorant stipendiyadan əlavə maaşa da  layiq görülməlidir ki,  o  təhsil aldığı müəssisədə  daha çox vaxt keçirər ,rəhbər onu daha tez-tez görər,  bu da işin daha keyfiyyətli və tez zamanda başa gəlməsinə gətirib çıxarar."
18.03.2026 11:51:29,Universitet,Telecommunication Technologies,"Tədqiqatçı -professor, ştat",35,5,Bakı,Individual,Həftədə bir dəfə,Qismən aydındır,Çox vacibdir,Vacibdir,Vacibdir,Vacibdir,Çox vacibdir,Vacib deyil,Raziyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Raziyam,Əsasən kifayət deyil,Qismən razıyam,Heç razı deyiləm,3-4 il,Qismən razıyam,Qismən razıyam,Raziyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Çox hazıram,"Bəli, əsasən mən",Raziyam,Raziyam,Raziyam,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin təlimi və peşəkar inkişafı, Doktorantura tədqiqatında süni intellektin istifadəsi və qaydaların tənzimlənməsi","Tez-tez beynəlxalq  elmi və praktiki konfranslarda iştirak etmək, elmi isiqaməti və istifadə olunacaq metod və vasitələri müzakirə etmək, kənar alimlərin fikirlərini dinləmək.",
18.03.2026 13:58:38,Universitet,Ecology,Kafedra müdiri,7,3,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Çox vacibdir,Çox vacibdir,Çox vacibdir,Vacibdir,Çox vacibdir,Vacibdir,Raziyam,Çox razıyam,Raziyam,Çox razıyam,Raziyam,Çox razıyam,Qismən kifayətdir,Çox razıyam,Çox razıyam,3-4 il,Çox razıyam,Çox razıyam,Çox razıyam,Raziyam,Raziyam,Raziyam,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Raziyam,Raziyam,"Attestasiya və dissertasiya şurası prosedurları, Qaydaların aydınlığı və sabitliyi, Tədqiqat etikası və akademik dürüstlük prosedurları",,
18.03.2026 14:06:38,Universitet,International Relations,Dosent,10,2,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Qismən əhəmiyyətlidir,Vacibdir,Vacibdir,Vacib deyil,Qismən əhəmiyyətlidir,Qismən əhəmiyyətlidir,Raziyam,Heç razı deyiləm,Heç razı deyiləm,Heç razı deyiləm,Qismən razıyam,Qismən razıyam,Əsasən kifayət deyil,Qismən razıyam,Çox razıyam,4-5 il,Heç razı deyiləm,Heç razı deyiləm,Qismən razıyam,Raziyam,Heç razı deyiləm,Qismən razıyam,Çox hazıram,"Xeyr, bu əsasən formal kurslar və ya digər bölmələr tərəfindən təmin olunur",Heç razı deyiləm,Raziyam,Raziyam,"Attestasiya və dissertasiya şurası prosedurları, İnzibati səmərəlilik və müddətlər, Elmi rəhbərlik üçün institusional dəstək","Elmi rəhbərə maliyyə dəstəyi, inzibati çərçivələrin bir çoxunun ləğv olunması","Qəbul imtahanlarını sadələşdirmək və yalnız doktorantın seçdiyi istiqamət sahəsinə (ixtisasina) fikir vermək. Dil qabiliyyəti, məntiq və informasiya texnologiyaları bilikləri doktorant özü tədgiqat prosesində zərurət qarşısında olduqda onlara sahib çıxacaq. Bunu təcrübə təsdiq edib."
18.03.2026 14:20:01,Universitet,Computer Science,Dosent - ştat,2,1,Bakı,Joint ,Həftədə bir dəfə,Qismən aydındır,Qismən əhəmiyyətlidir,Vacibdir,Vacibdir,Qismən əhəmiyyətlidir,Vacibdir,Qismən əhəmiyyətlidir,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Əsasən kifayət deyil,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,4-5 il,Raziyam,Qismən razıyam,Qismən razıyam,Raziyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Qismən hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Qismən razıyam,Qismən razıyam,Raziyam,"Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Doktorantlar üçün maliyyə dəstəyi, Rifah və psixi sağlamlıq dəstəyi",Maliyyə dəstəyinin olması,Rəhbərlik üçün tədris yükü yalnız doktoranturanın 2-ci ilində nəzərə alınıb. 1-ci il üçün ödəniş olmayıb.
18.03.2026 14:21:15,Universitet,Biochemistry,professor,10,3,Bakı,Individual,Həftədə bir dəfə,Qismən aydındır,Çox vacibdir,Çox vacibdir,Vacibdir,Qismən əhəmiyyətlidir,Vacibdir,Vacibdir,Raziyam,Qismən razıyam,Qismən razıyam,Raziyam,Çox razıyam,Heç razı deyiləm,Əsasən kifayət deyil,Heç razı deyiləm,Çox razıyam,5-6 il,Cavab verməkdə çətinlik çəkirəm,Raziyam,Qismən razıyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Çox hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Raziyam,Raziyam,Qismən razıyam,"Elmi rəhbərlik üçün institusional dəstək, Doktorantlar üçün maliyyə dəstəyi, Rifah və psixi sağlamlıq dəstəyi",Tədqiqatlar ücün maliyyə olmalidir,
18.03.2026 14:31:27,Universitet,Chemistry,Kafedra müdiri,10,1,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Vacibdir,Çox vacibdir,Vacibdir,Vacibdir,Çox vacibdir,Qismən əhəmiyyətlidir,Cavab verməkdə çətinlik çəkirəm,Raziyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Raziyam,Qismən kifayətdir,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,4-5 il,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Raziyam,Cavab verməkdə çətinlik çəkirəm,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Doktorantlar üçün maliyyə dəstəyi",Dərsyükünün azaldılması,yoxdur
18.03.2026 14:32:16,Universitet,Biology,dosent,10,4,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Qismən əhəmiyyətlidir,Vacibdir,Çox vacibdir,Qismən əhəmiyyətlidir,Vacibdir,Vacibdir,Raziyam,Raziyam,Raziyam,Heç razı deyiləm,Heç razı deyiləm,Raziyam,Qismən kifayətdir,Heç razı deyiləm,Raziyam,5-6 il,Qismən razıyam,Qismən razıyam,Qismən razıyam,Raziyam,Heç razı deyiləm,Qismən razıyam,Çox hazıram,"Xeyr, bu əsasən formal kurslar və ya digər bölmələr tərəfindən təmin olunur",Qismən razıyam,Qismən razıyam,Qismən razıyam,"Attestasiya və dissertasiya şurası prosedurları, İnzibati səmərəlilik və müddətlər, Elmi rəhbərlik üçün institusional dəstək, Doktorantlar üçün maliyyə dəstəyi, Rifah və psixi sağlamlıq dəstəyi, Münaqişələrin həlli mexanizmləri","Bir elmi rəhbər maksimum 5 nəfərə elmi rəhbər ola bilər, lakin hal-hazırda Elmi Tədqiat İnstitutlarının direktorları və ya sabiq direktorları 20-dən artıq şəxsə rəhbərlik edirlər və bu da ümumi doktorantura hazırlığına olduqca mənfi təsir edir. Doktorantura müddəti bitmiş yüzlərlə şəxs var ki, onlar ortalıqda qalıblar. Elmi rəhbərlər rəhbərlik pulunu alır və təhsil müddəti başa çatıqdan sonra doktorantları taleyin ümidinə buraxırlar. ","Doktornatura təhsilini təkmilləşdirmək üçün ilk növbədə elmi mühit olmalıdır. AMEA-nın yalançı üzvüləri ixtisasları uyğun olmadıqları halda onlarla doktoranta rəhbərlik edir və onları şikəst edirlər. Çox təəssüf ki, birbaşa qanunvericilikdə yazılıb ki, AMEA-nın həqiqi və müxbir üzvüləri ixtisasları uyğun gəlmədikləri halda belə elmi rəhbər təyin edilə, eləcə də ixtisaslarına aid olmayan dissertasiyalara rəyçi və opponent təyin edilə bilərlər. Bu hal təcili şəkildə yığışdırılmalı, gənclərimizə ixtisaslı mütəxəssilər rəhbərlik etməlidirlər. Bundan başqa, İnstitutların rəhbərləri tədqiqat bacarıqları olan şəxsləri sıradan çıxarır və onların tədqiqatlarına süni maneçilik yaradırlar. Elmi rəhbərlərə müstəqillik verilməli və onlar müdafiə ilə bağlı bütün mərhələlərdə iştirak etməlidirlər. Bundan başqa, doktorantlara da müstəqillik verilməlidir ki, elmi rəhbərlərini özləri seçsinlər və ya onların fəaliyyətindən narazı olduqda elmi rəhbərlərini dəyişmək imkanları olsun. "
18.03.2026 14:34:53,Hər ikisi,"System Analysis, Control and Information Processing (3338.01)","şöbə müdiri, dosent",1,3,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Vacibdir,Çox vacibdir,Vacibdir,Qismən əhəmiyyətlidir,Vacibdir,Qismən əhəmiyyətlidir,Raziyam,Qismən razıyam,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Qismən razıyam,Qismən kifayətdir,Cavab verməkdə çətinlik çəkirəm,Çox razıyam,4-5 il,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Raziyam,Heç razı deyiləm,Çox hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Qismən razıyam,Raziyam,Raziyam,Doktorantura tədqiqatında süni intellektin istifadəsi və qaydaların tənzimlənməsi,"Elmi rəhbərlər doktorantlara yalnız tədqiqat metodlarını deyil, həm də layihə idarəetməsini, etik prinsipləri və akademik yazı bacarıqlarını öyrətməlidirlər.","1 pilləli müdafiyəyə keçid , müdafiə öncəsi ciddi elmi ekspertiza (məsələn, beynəlxalq jurnallarda məqalələrin dərc olunması, müstəqil ekspert rəyləri) şərt kimi qoyulsun."
18.03.2026 14:46:33,Hər ikisi,Theoretical Physics,"Laboratoriya rəhbəri (ştat), Saat hesabı dərslər",30,4,Bakı,Individual,Həftədə bir dəfə,Cavab verməkdə çətinlik çəkirəm,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Raziyam,Cavab verməkdə çətinlik çəkirəm,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Əsasən kifayət deyil,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,4-5 il,Raziyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Raziyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,"İnzibati səmərəlilik və müddətlər, Elmi rəhbərlik üçün institusional dəstək, Doktorantlar üçün maliyyə dəstəyi",Doktorantın elmi səviyyəsinin yüksək olması,"İstedadlı gəncin tapəlması, Elmi səviyyənin artırılması, maliyyə dəstəyinin olması,"
18.03.2026 14:47:20,Universitet,Sociology,Dosent,35,1,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Çox vacibdir,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Raziyam,Raziyam,Qismən razıyam,Raziyam,Qismən kifayətdir,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,3-4 il,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Raziyam,Raziyam,Raziyam,Çox hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Heç razı deyiləm,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Elmi rəhbərlik üçün institusional dəstək,Təlim,Yoxdu
18.03.2026 15:00:17,Universitet,Political Science,"Dosent, ştat",2,2,Bakı,Individual,Ayda bir dəfə,Qismən aydındır,Vacibdir,Vacibdir,Vacibdir,Az əhəmiyyətlidir,Vacibdir,Qismən əhəmiyyətlidir,Qismən razıyam,Qismən razıyam,Heç razı deyiləm,Heç razı deyiləm,Heç razı deyiləm,Qismən razıyam,Əsasən kifayət deyil,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,3-4 il,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Qismən hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Raziyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Doktorantlar üçün maliyyə dəstəyi",Elmi rəhbərə maliyyə dəstəyi ,"Doktorantların təhsil prosesinə ciddi və məcburi cəlb olunması, xüsusilə dissertasiya mövzuları üzrə"
18.03.2026 15:17:22,Universitet,Mathematics,Professor (ştat),16,3,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Vacib deyil,Vacib deyil,Çox vacibdir,Vacib deyil,Çox vacibdir,Vacibdir,Raziyam,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Heç razı deyiləm,Heç razı deyiləm,Raziyam,Ümumilikdə kifayət deyil,Heç razı deyiləm,Raziyam,4-5 il,Cavab verməkdə çətinlik çəkirəm,Raziyam,Cavab verməkdə çətinlik çəkirəm,Raziyam,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Çox hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Qismən razıyam,Raziyam,Raziyam,"Attestasiya və dissertasiya şurası prosedurları, Qaydaların aydınlığı və sabitliyi, Doktorantlar üçün maliyyə dəstəyi",Maliyyə dəstəyi,
18.03.2026 15:22:52,Elmi-tədqiqat İnstitutu,"Botany, Biological Resources, Ecology","direktor 1 ştat, mərkəz rəhbəri yarımştat",21,5,Bakı,Individual,Həftədə bir dəfə,Qismən aydındır,Qismən əhəmiyyətlidir,Çox vacibdir,Çox vacibdir,Az əhəmiyyətlidir,Vacibdir,Vacib deyil,Raziyam,Qismən razıyam,Raziyam,Raziyam,Heç razı deyiləm,Raziyam,Ümumilikdə kifayət deyil,Raziyam,Qismən razıyam,4-5 il,Heç razı deyiləm,Raziyam,Heç razı deyiləm,Heç razı deyiləm,Heç razı deyiləm,Qismən razıyam,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Qismən razıyam,Heç razı deyiləm,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin təlimi və peşəkar inkişafı, Doktorantlar üçün maliyyə dəstəyi","1.İndeksləşmiş jurnallarda məqaləsi olmayan şəxslər rəhbər edilməsin.
2.Elmlər doktoru olmayan şəxslər rəhbərlikdən məhrum edilsin.","1. Elmi tədqiqat institutlarında və ya universitetlərdə doktorantlara aid olduğu ixtisas üzrə, eləcə də süni intelekt və texnologiyalar proqramlarında  dərslər keçirilməlidir."
18.03.2026 15:24:04,Elmi-tədqiqat İnstitutu,Economics of Technological Innovations,Elmi rəhbər,1,1,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Raziyam,Raziyam,Raziyam,Raziyam,Raziyam,Raziyam,Qismən kifayətdir,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,3-4 il,Raziyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Raziyam,Hazır deyiləm,"Xeyr, bu əsasən formal kurslar və ya digər bölmələr tərəfindən təmin olunur",Qismən razıyam,Qismən razıyam,Qismən razıyam,"Attestasiya və dissertasiya şurası prosedurları, Tədqiqat etikası və akademik dürüstlük prosedurları, Doktorantlar üçün maliyyə dəstəyi",Maliyə dəstəyi,
18.03.2026 15:40:06,Elmi-tədqiqat İnstitutu,"Bioinformatics, Genetics, Molecular Biology","Baş elmi işçi, ştat",30,2,Bakı,Individual,Həftədə bir dəfə,Qismən aydındır,Vacibdir,Çox vacibdir,Çox vacibdir,,Vacibdir,Vacibdir,Raziyam,Raziyam,Qismən razıyam,Raziyam,Heç razı deyiləm,Qismən razıyam,Əsasən kifayət deyil,Qismən razıyam,Raziyam,3-4 il,Raziyam,Raziyam,Raziyam,Raziyam,Qismən razıyam,Raziyam,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Raziyam,Heç razı deyiləm,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlik üçün institusional dəstək, Doktorantlar üçün maliyyə dəstəyi","(1) Normal iş şəraiti, (2) Maliyyə dəstəyi",Yuxarıdakı qeydlərim yetərlidir.
18.03.2026 15:53:43,Elmi-tədqiqat İnstitutu,"Philology, Folklore Studies","Şöbə müdiri, professor",20,5,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Vacibdir,Çox vacibdir,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Raziyam,Raziyam,Raziyam,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Qismən kifayətdir,Qismən razıyam,Raziyam,3-4 il,Qismən razıyam,Qismən razıyam,Raziyam,Qismən razıyam,Raziyam,Qismən razıyam,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Raziyam,Qismən razıyam,"Attestasiya və dissertasiya şurası prosedurları, Tədqiqat etikası və akademik dürüstlük prosedurları, Doktorantlar üçün maliyyə dəstəyi","Doktorantların nəzəri hazırlığını yüksək səviyyəyə çatdırmaq, müasir elmi-nəzəri, metedoloji bazaya yiyələndirmək","Həm doktorantı, həm də elmi rəhbərin Maddi vəziyyətinin yaxşılaşdırılması"
18.03.2026 15:53:59,Universitet,Engineering,ştat,30,1,Bakı,Individual,Ayda bir dəfə,Qismən aydındır,Vacibdir,Vacibdir,Çox vacibdir,Vacibdir,Vacibdir,Vacib deyil,Raziyam,Raziyam,Raziyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Raziyam,Qismən kifayətdir,Qismən razıyam,Raziyam,3-4 il,Raziyam,Raziyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Raziyam,Raziyam,Çox hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Heç razı deyiləm,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,"Attestasiya və dissertasiya şurası prosedurları, Doktorantura tədqiqatında süni intellektin istifadəsi və qaydaların tənzimlənməsi, Doktorantlar üçün maliyyə dəstəyi",,
18.03.2026 15:54:36,Universitet,,Yarimstat,3,1,Bakı,Individual,semestrdə bir dəfə,Qismən aydındır,Çox vacibdir,Vacibdir,Çox vacibdir,Çox vacibdir,Vacibdir,Vacibdir,Çox razıyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Əsasən kifayət deyil,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,3 ildən az,Raziyam,Heç razı deyiləm,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Raziyam,Qismən razıyam,Hazır deyiləm,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Heç razı deyiləm,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Elmi rəhbərlərin təlimi və peşəkar inkişafı",,
18.03.2026 16:00:12,Universitet,Information Security Methods and Systems (3339.01),Kafedra müdiri,5,1,Abşeron - Xızı,Individual,Ayda bir dəfə,Qismən aydındır,Vacibdir,Vacibdir,Vacibdir,Vacib deyil,Vacibdir,Vacibdir,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Raziyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Əsasən kifayət deyil,Heç razı deyiləm,Qismən razıyam,5-6 il,Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Qismən hazıram,"Bəli, əsasən mən",Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,"Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Tədqiqat etikası və akademik dürüstlük prosedurları, Doktorantlar üçün maliyyə dəstəyi",,
18.03.2026 16:22:17,Elmi-tədqiqat İnstitutu,Political Science,yarımştat,12,3,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Vacibdir,Vacibdir,Çox vacibdir,Vacibdir,Çox vacibdir,Qismən əhəmiyyətlidir,Raziyam,Raziyam,Raziyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Tam kifayətdir,Raziyam,Raziyam,3 ildən az,Qismən razıyam,Qismən razıyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Raziyam,Çox hazıram,"Bəli, əsasən mən",Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Raziyam,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlik üçün institusional dəstək, Doktorantura tədqiqatında süni intellektin istifadəsi və qaydaların tənzimlənməsi",Elmi rəhbərliyin maliyyə dəstəyi,"Attestasiya, Müzakirə, seminar və müdafiə prosedurları ciddiləşməlidir"
