Specialty,Education year,Form,Employement,FinancialSatisfaction,Psixoloji və sosial dəstək xidmətlərinin əlçatanlığını necə qiymətləndirirsiniz?,"Tədqiqat resurslarına və infrastrukturuna çıxış imkanlarınızı 1-dən 10-a qədər qiymətləndirin
",Supervisor_meeting,Quality_supervisor,Clearity_supervisor,supervising_progress,Supervisor_access,Supervisor_satisfaction,Təhsil dövründə iş–şəxsi həyatımda balans mövcuddur
Philology,2,Part time,Researcher,Cavab verməkdə çətinlik çəkirəm,Orta,3,Semestrdə bir dəfədən az,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Yaxşı,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm
History,4,Part time,Teaching,Cavab verməkdə çətinlik çəkirəm,Zəif,5,Ayda bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Orta,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm
Engineering,4,Part time,Administrative,Qismən razıyam,Orta,3,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Economy,1,Part time,Business analytic,Qismən razıyam,Zəif,8,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Pedagogy,2,Part time,Teaching,Qismən razıyam,Yaxşı,10,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Tam razıyam
Economy,2,Part time,Teaching,Razı deyiləm,Zəif,5,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Economy,2,Full time,,Qismən razıyam,Orta,10,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Psychology,1,Part time,psychologist,Razı deyiləm,Əla,10,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Philology,3,Part time,Administrative,Heç razı deyiləm,Zəif,6,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Engineering,2,Part time,Teaching,Qismən razıyam,Orta,9,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Sociology,1,Full time,No,Heç razı deyiləm,Zəif,6,Ayda bir dəfə,Tam razıyam,Qismən razıyam,Tam razıyam,Əla,Xeyli razıyam,Heç razı deyiləm
Politology,1,Full time,Teaching,Qismən razıyam,Yaxşı,10,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Mathematics,2,Full time,No,Heç razı deyiləm,Zəif,5,Ayda bir dəfə,Tam razıyam,Tam razıyam,Qismən razıyam,Əla,Xeyli razıyam,Qismən razıyam
Psychology,4,Part time,Teaching,Razı deyiləm,Orta,8,Ayda bir dəfə,Qismən razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Architecture,2,Part time,,Heç razı deyiləm,Çox zəif,2,Semestrdə bir dəfədən az,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Yaxşı,Cavab verməkdə çətinlik çəkirəm,Tam razıyam
Physics,3,Full time,Researcher,Razı deyiləm,Çox zəif,6,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Culturology,5,Part time,Teaching,Razı deyiləm,Orta,5,Semestrdə bir dəfədən az,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Orta,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam
Pedagogy,3,Part time,No,Heç razı deyiləm,Çox zəif,7,Həftədə bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Yaxşı,Qismən razıyam,Qismən razıyam
Philology,4,Part time,Teaching,Tam razıyam,Əla,10,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
History,1,Full time,,Heç razı deyiləm,Çox zəif,2,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Razı deyiləm
Biology,4,Part time,Teaching,Qismən razıyam,Əla,10,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Politology,3,Part time,Teaching,Heç razı deyiləm,Yaxşı,8,,,,,,,Qismən razıyam
Pedagogy,4,Part time,Teaching,Qismən razıyam,Orta,10,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Razı deyiləm
Law,2,Full time,No,Heç razı deyiləm,Zəif,2,Semestrdə bir dəfə,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Razı deyiləm,Yaxşı,Razı deyiləm,Cavab verməkdə çətinlik çəkirəm
Medicine,3,Full time,,Razı deyiləm,Orta,8,Həftədə bir dəfə,Qismən razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
History,1,Full time,Teaching,Heç razı deyiləm,Çox zəif,3,Ayda bir dəfə,Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Yaxşı,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm
Mathematics,1,Part time,Teaching,Heç razı deyiləm,Çox zəif,7,Həftədə bir dəfə,Qismən razıyam,Heç razı deyiləm,Tam razıyam,Əla,Xeyli razıyam,Heç razı deyiləm
Philology,1,Part time,No,Qismən razıyam,Orta,8,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Qismən razıyam
Philology,1,Full time,No,Qismən razıyam,Yaxşı,8,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Economy,4,Part time,No,Razı deyiləm,Zəif,1,Semestrdə bir dəfədən az,Razı deyiləm,Razı deyiləm,Razı deyiləm,Orta,Razı deyiləm,Qismən razıyam
History,1,Part time,Researcher,Razı deyiləm,Orta,9,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Physicology,2,Full time,No,Tam razıyam,Çox zəif,10,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Çox zəif,Xeyli razıyam,Tam razıyam
Economy,2,Full time,Teaching,Tam razıyam,Çox zəif,9,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Physics,2,Full time,No,Razı deyiləm,Zəif,7,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Philology,20,Part time,Researcher,Heç razı deyiləm,Zəif,4,Semestrdə bir dəfə,Razı deyiləm,Razı deyiləm,Razı deyiləm,Çox zəif,Razı deyiləm,Qismən razıyam
Law,1,Part time,No,Cavab verməkdə çətinlik çəkirəm,Zəif,5,Semestrdə bir dəfədən az,Cavab verməkdə çətinlik çəkirəm,Heç razı deyiləm,Razı deyiləm,Çox zəif,Cavab verməkdə çətinlik çəkirəm,Tam razıyam
Politology,1,Part time,Yes,Razı deyiləm,Çox zəif,7,Ayda bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Yaxşı,Xeyli razıyam,Razı deyiləm
Engineering,2,Part time,Engineer,Qismən razıyam,Orta,7,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Qismən razıyam
History,1,Full time,No,Tam razıyam,Zəif,8,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
,2,Part time,,Tam razıyam,Orta,8,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Physichology,4,Part time,Teaching,Heç razı deyiləm,Çox zəif,5,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Biology,5,Part time,Teaching,Tam razıyam,Çox zəif,8,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Engineering,2,Full time,No,Heç razı deyiləm,Zəif,5,Ayda bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Yaxşı,Qismən razıyam,Razı deyiləm
Physics,1,Part time,Teaching,Tam razıyam,Yaxşı,9,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Qismən razıyam
Law,3,Full time,Yes,Heç razı deyiləm,Zəif,5,Ayda bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Yaxşı,Qismən razıyam,Razı deyiləm
,1,Full time,,Heç razı deyiləm,Çox zəif,5,,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,
,,,,,,,,,,,,,
Law,2,Full time,Administrative,Razı deyiləm,Zəif,4,Semestrdə bir dəfədən az,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Orta,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam
Economy,1,Full time,No,Razı deyiləm,Çox zəif,5,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Razı deyiləm
Law,1,Part time,lawyer,Razı deyiləm,Orta,7,Ayda bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Orta,Qismən razıyam,Tam razıyam
Engineering,1,Full time,Administrative,Qismən razıyam,Yaxşı,8,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Psychology,1,Part time,psychologist,Razı deyiləm,Orta,8,Ayda bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Əla,Qismən razıyam,Qismən razıyam
Philology,3,Part time,Administrative,Tam razıyam,Zəif,8,Semestrdə bir dəfə,Qismən razıyam,Tam razıyam,Qismən razıyam,Əla,Xeyli razıyam,Qismən razıyam
History,1,Part time,Teaching,Qismən razıyam,Çox zəif,2,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Engineering,2,Part time,Administrative,Razı deyiləm,Zəif,8,Semestrdə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Tam razıyam
History,5,Part time,Teaching,Cavab verməkdə çətinlik çəkirəm,Orta,7,Semestrdə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Physchology,4,Part time,People Advisor,Tam razıyam,Çox zəif,8,Semestrdə bir dəfə,Razı deyiləm,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Yaxşı,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam
Physchology,1,Full time,No,Qismən razıyam,Orta,8,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Law,4,Part time,Administrative,Heç razı deyiləm,Çox zəif,4,Semestrdə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Biology,4,Part time,Teaching,Razı deyiləm,Zəif,9,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
History,1,Part time,Teaching,Cavab verməkdə çətinlik çəkirəm,Orta,8,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Philology,4,Part time,Teaching,Tam razıyam,Orta,7,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Philology,2,Part time,Researcher,Razı deyiləm,Çox zəif,6,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Geography,1,Full time,No,Razı deyiləm,,5,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Geology,2,Full time,No,Cavab verməkdə çətinlik çəkirəm,Orta,7,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Heç razı deyiləm
Philology,1,Part time,Researcher,Heç razı deyiləm,Zəif,5,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Philosophy,2,Part time,,Razı deyiləm,Zəif,1,Semestrdə bir dəfədən az,Razı deyiləm,Razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Zəif,Razı deyiləm,Razı deyiləm
Engineering,1,Full time,,,,,Həftədə bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Yaxşı,Xeyli razıyam,Heç razı deyiləm
History,4,Part time,Researcher,Razı deyiləm,Çox zəif,7,,,,,,,Razı deyiləm
Biology,5,Part time,Teaching,Qismən razıyam,Orta,9,Ayda bir dəfə,Tam razıyam,Qismən razıyam,Qismən razıyam,Yaxşı,Xeyli razıyam,Tam razıyam
Economy,2,Part time,Business analytic,Tam razıyam,Yaxşı,9,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Biology,1,Full time,No,Tam razıyam,Yaxşı,9,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Law,2,Full time,,Tam razıyam,Yaxşı,9,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Philology,3,Part time,Researcher,Qismən razıyam,Orta,10,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Tam razıyam
Biology,2,Full time,No,Qismən razıyam,Orta,6,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Philology,5,Part time,Researcher,Heç razı deyiləm,Orta,5,,Qismən razıyam,,,,,Qismən razıyam
Economy,4,Part time,Entrepreneur,Qismən razıyam,Yaxşı,8,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Philology,5,Part time,Researcher,Heç razı deyiləm,Zəif,5,,,,,,,Qismən razıyam
Philology,4,Part time,Administrative,Razı deyiləm,Orta,6,,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm
Psychology,1,Full time,No,Heç razı deyiləm,Çox zəif,3,Ayda bir dəfə,Qismən razıyam,Tam razıyam,Tam razıyam,Yaxşı,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm
Pedagogy,2,Full time,No,Heç razı deyiləm,Çox zəif,3,Ayda bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Orta,Qismən razıyam,Qismən razıyam
Engineering,4,Part time,Engineer,Qismən razıyam,Orta,6,Ayda bir dəfə,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Orta,Cavab verməkdə çətinlik çəkirəm,Razı deyiləm
Geography,3,Full time,Teaching,Heç razı deyiləm,Çox zəif,3,Həftədə bir dəfə,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Əla,Qismən razıyam,Qismən razıyam
,,Part time,,Razı deyiləm,Zəif,6,,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Qismən razıyam,Orta,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam
Biology,1,Full time,No,Tam razıyam,Yaxşı,10,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Economy,2,Part time,Administrative,Qismən razıyam,Orta,4,Semestrdə bir dəfə,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Zəif,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam
Economy,1,Full time,No,Heç razı deyiləm,Zəif,6,Həftədə bir dəfə,Qismən razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Heç razı deyiləm
Chemistry,4,Part time,Researcher,Heç razı deyiləm,Çox zəif,1,Həftədə bir dəfə,Heç razı deyiləm,Qismən razıyam,Qismən razıyam,Yaxşı,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam
Geography,2,Part time,Teaching,Heç razı deyiləm,Zəif,5,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Physics,2,Full time,Researcher,Qismən razıyam,Orta,8,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Qismən razıyam
Chemistry,2,Part time,Teaching,Qismən razıyam,Zəif,4,Həftədə bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Yaxşı,Qismən razıyam,Qismən razıyam
Economy,2,Part time,Researcher,Tam razıyam,Yaxşı,9,Semestrdə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Physics,4,Part time,Teaching,Heç razı deyiləm,Zəif,7,Həftədə bir dəfə,Qismən razıyam,Qismən razıyam,Tam razıyam,Yaxşı,Qismən razıyam,Razı deyiləm
History,3,Part time,Administrative,Razı deyiləm,Çox zəif,7,Semestrdə bir dəfədən az,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Orta,Qismən razıyam,Qismən razıyam
Pedagogy,2,Full time,Teaching,Razı deyiləm,Orta,5,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Qismən razıyam
Engineering,2,Full time,Teaching,Qismən razıyam,Zəif,3,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Sociology,1,Part time,Teaching,Heç razı deyiləm,Zəif,3,Həftədə bir dəfə,Qismən razıyam,Qismən razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Law,3,Part time,Lawyer,Tam razıyam,Yaxşı,8,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Engineering,4,Part time,Engineer,Cavab verməkdə çətinlik çəkirəm,Yaxşı,10,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Razı deyiləm,Tam razıyam
Architecture,1,Part time,Teaching,Cavab verməkdə çətinlik çəkirəm,Orta,5,Semestrdə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Mathematics,1,Part time,Teaching,Qismən razıyam,Çox zəif,3,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Engineering,3,Full time,Teaching,Heç razı deyiləm,Çox zəif,8,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Qismən razıyam,Razı deyiləm
Economy,3,Full time,No,Qismən razıyam,Yaxşı,10,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Tam razıyam
Mathematics,8,Part time,Teaching,Cavab verməkdə çətinlik çəkirəm,Çox zəif,10,Semestrdə bir dəfədən az,Heç razı deyiləm,Heç razı deyiləm,Heç razı deyiləm,Çox zəif,Razı deyiləm,Qismən razıyam
Biology,2,Full time,Researcher,Razı deyiləm,Yaxşı,5,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Philology,4,Part time,Teaching,Razı deyiləm,Orta,8,Semestrdə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Philology,2,Part time,journalist,Razı deyiləm,Zəif,6,Ayda bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Zəif,Qismən razıyam,Qismən razıyam
History,2,Full time,no,Heç razı deyiləm,Çox zəif,7,Ayda bir dəfə,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Yaxşı,Qismən razıyam,Heç razı deyiləm
Philology,1,Part time,no,Cavab verməkdə çətinlik çəkirəm,Orta,8,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Pedagogy,4,Part time,Administrative,Qismən razıyam,Çox zəif,4,Ayda bir dəfə,Qismən razıyam,Tam razıyam,Qismən razıyam,Yaxşı,Qismən razıyam,Qismən razıyam
Economy,1,Full time,No,Cavab verməkdə çətinlik çəkirəm,Yaxşı,7,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Economy,1,Full time,No,Razı deyiləm,Zəif,5,Ayda bir dəfə,Tam razıyam,Cavab verməkdə çətinlik çəkirəm,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Biology,3,Full time,No,Heç razı deyiləm,Çox zəif,3,Həftədə bir dəfə,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Orta,Cavab verməkdə çətinlik çəkirəm,Razı deyiləm
Engineering,2,Full time,Engineer,Qismən razıyam,Yaxşı,5,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
History,1,Full time,No,Razı deyiləm,,5,Ayda bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Orta,Qismən razıyam,Qismən razıyam
Geography,2,Full time,Researcher,Razı deyiləm,Zəif,5,Həftədə bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Yaxşı,Qismən razıyam,Qismən razıyam
Economy,2,Full time,No,Heç razı deyiləm,Çox zəif,8,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Economy,1,Part time,,Razı deyiləm,Orta,7,Ayda bir dəfə,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Orta,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm
Geography,3,Part time,Teaching,Qismən razıyam,Çox zəif,1,Həftədə bir dəfə,Qismən razıyam,Tam razıyam,Qismən razıyam,Əla,Xeyli razıyam,Qismən razıyam
Economy,2,Part time,Teaching,Qismən razıyam,Yaxşı,8,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Pedagogy,3,Part time,No,Qismən razıyam,Yaxşı,5,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Geology,1,Part time,Teaching,Razı deyiləm,Zəif,8,Semestrdə bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Orta,Qismən razıyam,Qismən razıyam
Physchology,2,Part time,Teaching,Qismən razıyam,Yaxşı,8,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Biology,2,Full time,No,Cavab verməkdə çətinlik çəkirəm,Orta,10,Semestrdə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Tam razıyam
Law,3,Part time,Business analytic,Razı deyiləm,Zəif,7,Semestrdə bir dəfə,Cavab verməkdə çətinlik çəkirəm,Razı deyiləm,Qismən razıyam,Orta,Qismən razıyam,Qismən razıyam
Economy,2,Part time,Administrative,Tam razıyam,Əla,5,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Geography,1,Part time,Teaching,Tam razıyam,Yaxşı,7,Ayda bir dəfə,Tam razıyam,Qismən razıyam,Qismən razıyam,Yaxşı,Qismən razıyam,Razı deyiləm
Pedagogy,4,Part time,Teaching,Heç razı deyiləm,Çox zəif,6,Semestrdə bir dəfə,Qismən razıyam,Tam razıyam,Qismən razıyam,Əla,Xeyli razıyam,Razı deyiləm
Biology,2,Part time,Teaching,Heç razı deyiləm,Çox zəif,1,Həftədə bir dəfə,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Razı deyiləm,Yaxşı,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam
Biology,3,Full time,Teaching,Razı deyiləm,Zəif,8,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Çox zəif,Xeyli razıyam,Qismən razıyam
Biology,3,Full time,Researcher,Heç razı deyiləm,Çox zəif,6,Semestrdə bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Orta,Qismən razıyam,Qismən razıyam
Pedagogy,3,Part time,Administrative,,Zəif,6,Ayda bir dəfə,Cavab verməkdə çətinlik çəkirəm,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
History,2,Part time,Administrative,Qismən razıyam,Zəif,7,Semestrdə bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Yaxşı,Qismən razıyam,Razı deyiləm
Biology,3,Full time,Researcher,Heç razı deyiləm,Zəif,7,,Qismən razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Biology,4,Part time,Administrative,Tam razıyam,Əla,10,,Cavab verməkdə çətinlik çəkirəm,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Biology,2,Part time,Administrative,Razı deyiləm,Zəif,3,Semestrdə bir dəfə,Qismən razıyam,Qismən razıyam,Qismən razıyam,Orta,Qismən razıyam,Qismən razıyam
History,3,Part time,Researcher,Heç razı deyiləm,Çox zəif,3,,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Orta,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm
Economy,1,Part time,Teaching,Heç razı deyiləm,Orta,8,Həftədə bir dəfə,Tam razıyam,Qismən razıyam,Tam razıyam,Yaxşı,Qismən razıyam,Tam razıyam
Biology,1,Full time,No,Heç razı deyiləm,Çox zəif,1,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Biology,2,Full time,Researcher,Heç razı deyiləm,Çox zəif,6,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
History,1,Part time,Researcher,Tam razıyam,Orta,9,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Tam razıyam
Biology,1,Part time,Yes,Qismən razıyam,Zəif,7,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Tam razıyam
